seccion,tipo_eleccion,distrito,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND,total_pvem_pt_morena,total_pvem_morena,total_pan_pri,votos_validos,cand_no_reg,votos_nulos,total_votos,lista_nominal,participacion
0156,gubernatura,DT-02,9.0,13.0,63.0,26.0,26.0,207.0,426.0,,513.0,,22.0,805,0,49,854,1690,0.5053254437869823
0157,gubernatura,DT-01,10.0,15.0,42.0,41.0,17.0,16.0,978.0,,1094.0,,25.0,1177,1,30,1208,2090,0.5779904306220096
0158,gubernatura,DT-01,7.0,4.0,22.0,19.0,7.0,12.0,435.0,,461.0,,11.0,506,0,10,516,842,0.6128266033254157
0159,gubernatura,DT-01,8.0,8.0,32.0,35.0,10.0,8.0,520.0,,601.0,,17.0,658,0,21,679,1298,0.5231124807395994
0160,gubernatura,DT-03,6.0,21.0,61.0,40.0,22.0,25.0,714.0,,815.0,,28.0,929,0,34,963,1722,0.5592334494773519
0161,gubernatura,DT-01,3.0,11.0,51.0,17.0,12.0,19.0,697.0,,755.0,,14.0,839,0,23,862,1347,0.6399406087602079
0162,gubernatura,DT-03,19.0,23.0,178.0,109.0,59.0,80.0,1565.0,,1789.0,,43.0,2090,18,73,2181,4069,0.5360039321700664
0163,gubernatura,DT-01,2.0,19.0,87.0,46.0,25.0,15.0,935.0,,1056.0,,22.0,1180,0,35,1215,2268,0.5357142857142857
0164,gubernatura,DT-03,5.0,22.0,90.0,21.0,12.0,23.0,600.0,,647.0,,27.0,787,0,27,814,1394,0.5839311334289814
0165,gubernatura,DT-03,4.0,24.0,124.0,40.0,38.0,33.0,779.0,,902.0,,28.0,1087,0,17,1104,2022,0.5459940652818991
0166,gubernatura,DT-03,11.0,13.0,96.0,42.0,17.0,24.0,650.0,,750.0,,25.0,895,0,22,917,1810,0.5066298342541437
0167,gubernatura,DT-02,5.0,6.0,45.0,19.0,18.0,16.0,221.0,,277.0,,12.0,350,0,15,365,769,0.47464239271781533
0699,gubernatura,DT-01,8.0,9.0,76.0,25.0,23.0,63.0,1013.0,,1141.0,,21.0,1301,1,38,1340,2153,0.6223873664653972
0700,gubernatura,DT-01,12.0,11.0,46.0,19.0,18.0,50.0,548.0,,628.0,,24.0,748,1,22,771,1237,0.6232821341956346
0701,gubernatura,DT-01,9.0,5.0,26.0,9.0,10.0,37.0,403.0,,441.0,,14.0,518,0,8,526,782,0.6726342710997443
0702,gubernatura,DT-01,13.0,14.0,50.0,17.0,12.0,36.0,546.0,,606.0,,29.0,721,0,16,737,712,1.0351123595505618
0703,gubernatura,DT-01,2.0,20.0,51.0,20.0,34.0,65.0,770.0,,893.0,,22.0,1031,1,29,1061,1827,0.5807334428024084
0704,gubernatura,DT-01,5.0,4.0,73.0,20.0,21.0,47.0,685.0,,773.0,,9.0,902,1,23,926,1534,0.6036505867014341
0705,gubernatura,DT-01,7.0,3.0,42.0,26.0,30.0,33.0,496.0,,571.0,,12.0,658,0,17,675,1174,0.5749574105621805
0706,gubernatura,DT-01,8.0,29.0,114.0,37.0,24.0,60.0,799.0,,972.0,,37.0,1183,0,32,1215,2253,0.5392809587217043
0707,gubernatura,DT-01,9.0,14.0,97.0,28.0,17.0,79.0,1006.0,,1096.0,,25.0,1297,1,28,1326,2291,0.5787865560890441
0708,gubernatura,DT-01,6.0,24.0,84.0,14.0,20.0,43.0,886.0,,953.0,,30.0,1110,0,35,1145,1801,0.6357579122709606
0709,gubernatura,DT-01,2.0,8.0,28.0,9.0,6.0,4.0,374.0,,397.0,,13.0,442,0,13,455,747,0.6091030789825971
0710,gubernatura,DT-01,2.0,10.0,88.0,10.0,7.0,29.0,499.0,,523.0,,12.0,652,1,11,664,1226,0.5415986949429038
0711,gubernatura,DT-01,6.0,8.0,13.0,11.0,10.0,29.0,586.0,,627.0,,14.0,683,0,23,706,1245,0.5670682730923695
0712,gubernatura,DT-01,4.0,18.0,97.0,26.0,14.0,42.0,778.0,,877.0,,22.0,1038,0,41,1079,1693,0.6373301831069108
0713,gubernatura,DT-01,3.0,9.0,55.0,19.0,14.0,54.0,797.0,,841.0,,12.0,962,0,38,1000,1674,0.5973715651135006
0714,gubernatura,DT-01,1.0,9.0,85.0,14.0,28.0,44.0,832.0,,901.0,,10.0,1040,0,24,1064,1741,0.6111430212521539
0715,gubernatura,DT-01,0.0,0.0,1.0,3.0,0.0,0.0,49.0,,52.0,,0.0,53,0,9,62,132,0.4696969696969697
0716,gubernatura,DT-01,4.0,26.0,97.0,28.0,20.0,21.0,789.0,,867.0,,30.0,1015,0,38,1053,1799,0.58532518065592
0717,gubernatura,DT-01,3.0,15.0,55.0,13.0,13.0,56.0,317.0,,355.0,,18.0,484,0,24,508,960,0.5291666666666667
0718,gubernatura,DT-01,0.0,12.0,85.0,25.0,15.0,58.0,715.0,,761.0,,12.0,916,0,28,944,1525,0.6190163934426229
0719,gubernatura,DT-01,4.0,9.0,138.0,34.0,26.0,42.0,739.0,,819.0,,13.0,1012,0,22,1034,1684,0.6140142517814727
0720,gubernatura,DT-01,6.0,6.0,97.0,15.0,11.0,35.0,674.0,,727.0,,12.0,871,0,26,897,1622,0.5530209617755857
0721,gubernatura,DT-01,2.0,5.0,75.0,27.0,14.0,48.0,643.0,,711.0,,8.0,842,0,33,875,1531,0.5715218811234487
0722,gubernatura,DT-01,21.0,5.0,78.0,16.0,19.0,100.0,1085.0,,1138.0,,26.0,1342,0,46,1388,2383,0.5824590851867394
0723,gubernatura,DT-01,10.0,18.0,110.0,28.0,28.0,99.0,889.0,,971.0,,28.0,1208,0,52,1260,2307,0.5461638491547465
0726,gubernatura,DT-01,3.0,6.0,51.0,20.0,16.0,28.0,734.0,,789.0,,9.0,877,1,20,898,1706,0.5263774912075029
0727,gubernatura,DT-01,7.0,13.0,134.0,29.0,18.0,130.0,1269.0,,1343.0,,20.0,1627,0,53,1680,2983,0.5631914180355347
0728,gubernatura,DT-01,10.0,12.0,128.0,31.0,22.0,81.0,688.0,,781.0,,23.0,1013,1,24,1038,1599,0.649155722326454
0729,gubernatura,DT-01,10.0,24.0,123.0,53.0,29.0,119.0,1299.0,,1418.0,,34.0,1694,0,87,1781,3014,0.5909090909090909
0731,gubernatura,DT-01,4.0,9.0,101.0,40.0,32.0,162.0,879.0,,974.0,,13.0,1250,0,48,1298,2150,0.6037209302325581
0732,gubernatura,DT-01,0.0,6.0,28.0,16.0,9.0,24.0,362.0,,394.0,,6.0,452,0,12,464,802,0.5785536159600998
0733,gubernatura,DT-01,6.0,17.0,87.0,35.0,32.0,169.0,966.0,,1059.0,,26.0,1341,0,60,1401,2401,0.5835068721366098
0736,gubernatura,DT-01,4.0,8.0,44.0,34.0,14.0,124.0,938.0,,1003.0,,12.0,1183,0,36,1219,1707,0.7141183362624487
1199,gubernatura,DT-01,4.0,6.0,87.0,30.0,25.0,83.0,759.0,,855.0,,10.0,1035,0,22,1057,1954,0.5409416581371546
1200,gubernatura,DT-01,5.0,16.0,142.0,34.0,31.0,49.0,675.0,,767.0,,23.0,981,0,40,1021,2185,0.46727688787185356
1201,gubernatura,DT-01,5.0,7.0,101.0,17.0,17.0,62.0,401.0,,439.0,,12.0,614,0,29,643,1054,0.610056925996205
